principio_activo_buscado,farmacia,producto_nombre,marca,precio,precio_lista,categorias,url
Valsartan,medicity,Exforge Comprimidos Recubiertos 28 Unidades,EXFORGE,1.14,1.43,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/exforge-comprimidos-recubiertos-28-unidades/p
Valsartan,medicity,Terovan Comprimido Recubierto 49mg/51mg Caja 60 Unidades,TEROVAN,75.6,108.0,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/terovan-comprimido-recubierto-49mg-51mg-caja-60-unidades-1/p
Valsartan,medicity,Diapresan Comprimidos Recubiertos 160 mg Caja Con 30 Unidades,DIAPRESAN,1.08,1.17,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/diapresan-comprimidos-recubiertos-160-mg-caja-con-30-unidades/p
Valsartan,medicity,Diovan Comprimido Recubierto Caja Con 28 Unidades,DIOVAN,0.94,1.17,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/diovan-comprimido-recubierto-caja-con-28-unidades/p
Valsartan,medicity,Simultan Comprimido Recubierto 160 Mg Caja 30 Unidades,SIMULTAN,0.72,0.78,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/simultan-comprimido-recubierto-160-mg-caja-30-unidades/p
Valsartan,medicity,Entresto Comprimidos Recubiertas 100 mg Caja 60 Unidades,ENTRESTO,1.66,1.8,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/entresto-comprimidos-recubiertas-100-mg-caja-60-unidades-1/p
Valsartan,medicity,Diapresan D Comprimidos Recubiertos 80/12.5 mg Caja Con 30 Unidades,DIAPRESAN,0.97,1.05,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/diapresan-d-comprimidos-recubiertos-80125-mg-caja-con-30-unidades/p
Valsartan,cruzazul,Valaxam 160/10mg ecuaquimica - saval comprimido recubierto,Valaxam,30.0,30.0,/Medicinas/Genitourinario y Hormonas Sexuales/|/Medicinas/,https://www.farmaciascruzazul.ec/valaxam-160-10mg-ecuaquimica-saval-comprimido-recubierto/p
Valsartan,cruzazul,Valaxam 160/5mg ecuaquimica - saval comprimido recubierto,Valaxam,30.0,30.0,/Medicinas/Musculoesqueléticos/|/Medicinas/,https://www.farmaciascruzazul.ec/valaxam-160-5mg-ecuaquimica-saval-comprimido-recubierto/p
Valsartan,cruzazul,Valaxam 160/5/12.5mg ecuaquimica - saval comprimido recubierto,Valaxam,30.0,30.0,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/valaxam-160-5-125mg-ecuaquimica-saval-comprimido-recubierto/p
